観光地点等名,所在地,緯度,経度,観光地点等大分類,観光地点等中分類,観光地点等小分類
一乗谷朝倉氏遺跡,福井市城戸ノ内町10-48,36.003216,136.297948,観光地点,歴史・文化,史跡
越前海岸（福井市）,福井市居倉町43-25,36.012814,135.991022,観光地点,自然（行祭事・イベント）,海岸
越前水仙の里公園,福井市居倉町43-25,36.012815,135.991021,観光地点,歴史・文化,動・植物園
越前水仙の里温泉「波の華」,福井市蒲生町1-94,36.037589,136.010235,観光地点,温泉・健康,温泉地
鷹巣海水浴場,福井市浜住町,36.134418,136.071055,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
鮎川海水浴場,福井市鮎川町,36.091356,136.031202,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
越廼海水浴場,福井市蒲生町,36.037697,136.010203,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
フォーレスト福井ゴルフクラブ,福井市燈豊町42-53,36.037697,136.010203,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
大安禅寺,福井市田ﾉ谷町21-4,36.102004,136.167815,観光地点,歴史・文化,神社・仏閣
ＳＳＴランド,福井市笹谷町115,36.013283,136.142648,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
ゴールド福井カントリークラブ,福井市上天下町1-1 ,36.032772,136.12637,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
健康の森温泉,福井市真栗町47-48,36.014727,136.139589,観光地点,温泉・健康,温泉地
伊自良館,福井市中手町29-3,35.963038,136.391497,観光地点,温泉・健康,温泉地
みらくる亭,福井市市波町38-2 ,36.010948,136.329335,観光地点,温泉・健康,温泉地
養浩館,福井市宝永3-11-36,36.068558,136.224843,観光地点,歴史・文化,庭園
福井市立郷土歴史博物館,福井市宝永3-12-1,36.068313,136.222901,観光地点,歴史・文化,博物館
福井市美術館,福井市下馬3-1111,36.038994,136.234075,観光地点,歴史・文化,美術館
福井市自然史博物館,福井市足羽上町147,36.056628,136.209556,観光地点,歴史・文化,博物館
福井県立美術館,福井市文京3-16-1,36.078532,136.21525,観光地点,歴史・文化,美術館
福井県立歴史博物館,福井市大宮2-19-15,36.082676,136.22234,観光地点,歴史・文化,博物館
安田蒲鉾,福井市高柳町42-7,36.097703,136.237991,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
北の庄城址公園,福井市中央1-12-17,36.065454,136.220903,観光地点,歴史・文化,史跡
福井県立こども歴史文化館,福井市城東1-18-21,36.061587,136.234131,観光地点,歴史・文化,博物館
気比の松原,敦賀市松島町,35.656016,136.051708,観光地点,自然（行祭事・イベント）,海岸
氣比神宮,敦賀市曙町11-68,35.654959,136.0747,観光地点,歴史・文化,神社・仏閣
金崎宮,敦賀市金ヶ崎町1,35.66451,136.07406,観光地点,歴史・文化,神社・仏閣
あっとほうむ,敦賀市吉河37-1,35.634236,136.082046,観光地点,歴史・文化,産業観光
敦賀原子力館,敦賀市明神町1,35.748952,136.027316,観光地点,歴史・文化,産業観光
敦賀国際ゴルフ倶楽部,敦賀市みどりが丘165,35.605113,136.05828,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
ニューサンピア敦賀,敦賀市呉羽町2,35.637575,136.056086,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
水島海水浴場,敦賀市水島,35.730495,136.035049,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
田結海水浴場,敦賀市田結,35.68506,136.086158,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
松原海水浴場,敦賀市松島町松原,35.656603,136.051685,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
敦賀きらめき温泉リラ・ポート,敦賀市高野91-9-3,35.64409,136.097014,観光地点,温泉・健康,温泉地
旧敦賀港駅舎,敦賀市港町1-25,35.66074,136.072775,観光地点,歴史・文化,記念・資料館
人道の港敦賀ムゼウム,敦賀市金ヶ崎町44,35.66272,136.073464,観光地点,歴史・文化,記念・資料館
日本海さかな街,敦賀市若葉町1-1531,35.634244,136.049933,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
小牧かまぼこ,敦賀市余座13-1-1,35.650549,136.085576,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
ヤマトタカハシ昆布館,敦賀市坂下3-1,35.633154,136.071889,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
蘇洞門めぐり,小浜市川崎,35.569476,135.716121,観光地点,自然（行祭事・イベント）,海岸
森林の水ＰＲ館,小浜市神宮寺5-30,35.465449,135.780664,観光地点,その他,他に分類されない観光地点
箸のふるさと館,小浜市福谷8-1-3,35.522347,135.751516,観光地点,歴史・文化,産業観光
せいわ箸店,小浜市竜前5-13-1,35.471495,135.780869,観光地点,歴史・文化,産業観光
明通寺,小浜市門前5-21,35.453566,135.804449,観光地点,歴史・文化,神社・仏閣
神宮寺,小浜市神宮寺30-4,35.459682,135.782996,観光地点,歴史・文化,神社・仏閣
萬徳寺,小浜市金屋74-23,35.46919,135.784779,観光地点,歴史・文化,神社・仏閣
御食国若狭おばま食文化館,小浜市川崎3-4,35.50133,135.737723,観光地点,歴史・文化,博物館
福井県立若狭歴史民俗資料館,小浜市遠敷2-104,35.484138,135.785001,観光地点,歴史・文化,記念・資料館
小浜湾（沖釣り）,小浜市,35.51083,135.690482,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,釣り場
国立若狭湾青少年自然の家,小浜市田烏大浜,35.561031,135.814001,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
若狭鯉川シーサイドパーク,小浜市鯉川,35.479336,135.651206,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,海水浴場
若狭小浜お魚センター,小浜市川崎2-5-1,35.501077,135.740982,観光地点,都市型観光 買物 食,地区・商店街
道の駅「若狭おばま」,小浜市和久里24-45-2,35.491976,35.491976,観光地点,その他,他に分類されない観光地点
常高寺,小浜市小浜浅間1,35.489692,135.734536,観光地点,歴史・文化,神社・仏閣
七間朝市,大野市元町,35.985101,136.490199,観光地点,都市型観光 買物 食,地区・商店街
寺町,大野市錦町,35.98608,136.491636,観光地点,歴史・文化,歴史的まち並み、旧街道
御清水,大野市泉町5-4,35.982849,136.486298,観光地点,その他,他に分類されない観光地点
義景公園,大野市泉町,35.980935,136.485372,観光地点,歴史・文化,史跡
平成大野屋,大野市元町1-2,35.985046,136.487226,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
本願清水イトヨの里,大野市糸魚町8-44,35.975411,136.491296,観光地点,歴史・文化,記念・資料館
武家屋敷旧内山家,大野市城町10-7,35.985606,136.486725,観光地点,歴史・文化,記念・資料館
越前大野城,大野市城町3-109,35.986617,136.483098,観光地点,歴史・文化,城
小池公園,大野市上打波(小池),36.066695,136.715902,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,キャンプ場
麻那姫湖,大野市中島,35.90928,136.532987,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,キャンプ場
宝慶寺,大野市寶慶寺1-2,35.912342,136.466464,観光地点,歴史・文化,神社・仏閣
荒島岳,大野市西勝原,35.93439,136.601255,観光地点,自然（行祭事・イベント）,山岳
九頭竜峡,大野市東勝原,35.964826,136.609012,観光地点,自然（行祭事・イベント）,河川
六呂師高原,大野市南六呂師,36.023691,136.58291,観光地点,自然（行祭事・イベント）,高原
九頭竜湖,大野市箱ヶ瀬,35.874062,136.742167,観光地点,自然（行祭事・イベント）,湖沼
九頭竜国民休養地,大野市角野14-3,35.89985,136.65042,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
九頭竜温泉ホテルフレアール和泉,大野市下山63-2-24,35.922063,136.644888,観光地点,温泉・健康,温泉地
九頭竜温泉平成の湯,大野市下山63-2-24,35.922063,136.644888,観光地点,温泉・健康,温泉地
福井和泉スキー場,大野市朝日前坂27,35.939678,136.692274,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スキー場
道の駅「九頭竜」,大野市朝日26-30-1,35.904276,136.661467,観光地点,その他,他に分類されない観光地点
和泉ふれあい会館,大野市朝日26-30-1,35.904276,136.661467,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
九頭竜スキー場,大野郡泉村角野14-3,35.898805,136.653669,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スキー場
雁ケ原スキー場,勝山市170-11-1,36.079225,136.518144,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スキー場
越前大仏,勝山市片瀬50-1-1,36.053674,136.519196,観光地点,歴史・文化,神社・仏閣
勝山城博物館,勝山市平泉寺町平泉寺85-26-1,36.042783,136.520535,観光地点,歴史・文化,城
白山平泉寺,勝山市平泉寺町平泉寺56-63,36.043911,136.534849,観光地点,歴史・文化,神社・仏閣
スキージャム勝山,勝山市勝山170-70,36.073357,136.555607,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スキー場
福井県恐竜博物館,勝山市村岡町寺尾51-11,36.083345,136.506639,観光地点,歴史・文化,博物館
かつやま恐竜の森,勝山市村岡町寺尾51-11,36.083345,136.506639,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
はたや記念館ゆめおーれ勝山,勝山市昭和町1-7-40,36.061775,136.50314,観光地点,歴史・文化,記念・資料館
うるしの里会館,鯖江市西袋町37-6-1,35.953213,136.273872,観光地点,歴史・文化,産業観光
かわだ温泉ラポーゼかわだ,鯖江市上河内町19-37-2,35.947927,136.300542,観光地点,温泉・健康,温泉地
西山公園,鯖江市桜町3,35.948671,136.180674,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
三六温泉神明苑,鯖江市神明町2-8-4,35.972596,136.183123,観光地点,温泉・健康,温泉地
めがねミュージアム,鯖江市新横江2-3-4,35.942757,136.198846,観光地点,歴史・文化,産業観光
まなべの館,鯖江市長泉寺町1-9-20,35.953515,136.184362,観光地点,歴史・文化,城
あわら温泉,あわら市温泉,36.224844,136.194501,観光地点,温泉・健康,温泉地
セントピアあわら,あわら市温泉4-305,36.225822,136.194104,観光地点,温泉・健康,温泉地
北潟湖畔,あわら市北潟,36.270819,136.24052,観光地点,自然（行祭事・イベント）,湖沼
吉崎御坊,あわら市吉崎2-902,36.287152,136.251131,観光地点,歴史・文化,史跡
金津創作の森,あわら市宮谷57-2-19,36.23066,136.26125,観光地点,歴史・文化,美術館
芦原ゴルフクラブ,あわら市浜坂66,36.285526,136.237295,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
福井国際カントリークラブ,あわら市柿原66,36.236872,136.248545,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
越前カントリークラブ,あわら市指中75-1,36.264419,136.275523,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
ジャパンセントラルゴルフクラブ,あわら市笹岡30-204,36.216914,136.281588,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
あわら温泉屋台村湯けむり横丁,あわら市温泉,36.13246,136.11374,観光地点,都市型観光 買物 食,食・グルメ
しきぶ温泉「湯楽里」,越前市白崎町68-8,35.863332,136.144637,観光地点,温泉・健康,温泉地
越前めがねの里,越前市向陽町53,35.872924,136.152922,観光地点,歴史・文化,産業観光
越前そばの里,越前市真柄町7-37,35.905344,136.207195,観光地点,都市型観光 買物 食,その他都市型観光－買物・食等－
タケフナイフビレッジ,越前市余川22-91,35.887933,136.236573,観光地点,歴史・文化,産業観光
紙の文化博物館,越前市新在家町11-12,35.910235,136.246117,観光地点,歴史・文化,産業観光
卯立の工芸館,越前市新在家町9-21-2,35.911182,136.244818,観光地点,歴史・文化,産業観光
パピルス館,越前市新在家町8-44,35.91131,136.2433,観光地点,歴史・文化,産業観光
みどりと自然の村･太陽広場,越前市安養寺5-3 ,35.920398,136.0809,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
万葉菊花園,越前市余川町22-96-1,35.886898,136.237655,観光地点,歴史・文化,動・植物園
越前の里味真野苑・万葉館,越前市余川町55-1,35.88544,136.237676,観光地点,歴史・文化,記念・資料館
紫式部公園,越前市東千福町369,35.889881,136.157709,観光地点,歴史・文化,庭園
蔵の辻・京町界隈,越前市蓬莱町3,35.902284,136.166167,観光地点,歴史・文化,歴史的まち並み、旧街道
武生カントリークラブ,越前市安養寺町5-3,35.882746,136.0829,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
八ツ杉森林学習センター,越前市別印19-1-1,35.887875,136.308025,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,スポーツ・レクリエーション施設
武生公会堂記念館,越前市蓬莱町8-8,35.901764,136.168315,観光地点,歴史・文化,記念・資料館
花筐公園,越前市粟田部町17-20 ,35.918642,136.238321,観光地点,ｽﾎﾟｰﾂ･ﾚｸﾘｴｰｼｮﾝ,公園
